# Time_s	x	xdot	xddot	xdddot	dx
1.585000	0.346680	0.439453	-0.253906	-1.430664	1.420898
1.590000	-0.483398	-0.219727	2.016602	1.479492	1.416016
1.595000	1.284180	-1.787109	-1.254883	0.952148	1.416016
1.600000	3.144531	0.590820	-0.991211	-1.254883	1.420898
1.605000	1.450195	1.333008	0.585938	-0.942383	1.416016
1.610000	-0.258789	0.014648	1.513672	0.864258	1.420898
1.615000	0.805664	-1.269531	-0.883789	0.683594	1.420898
1.620000	2.124023	0.478516	-0.786133	-1.000977	1.420898
1.625000	0.756836	1.108398	0.419922	-2.539062	1.420898
1.630000	-0.556641	-0.981445	1.811523	2.148438	1.420898
1.635000	2.255859	-1.757812	-1.748047	0.600586	1.420898
1.640000	3.720703	1.035156	-0.756836	-1.538086	1.420898
1.645000	1.489258	1.308594	0.795898	-0.781250	1.420898
1.650000	-0.024414	0.034180	0.498047	0.283203	1.420898
1.655000	0.244141	-0.229492	-0.454102	-0.083008	1.420898
1.660000	0.219727	0.532227	-0.156250	-2.641602	1.420898
1.665000	-0.551758	-0.859375	1.708984	1.943359	1.416016
1.670000	1.987305	-1.611328	-1.601562	0.546875	1.420898
1.675000	3.320312	0.971680	-0.717773	-1.450195	1.416016
1.680000	1.235352	1.245117	0.737305	-0.756836	1.420898
1.685000	-0.229492	-0.166016	1.093750	0.844727	1.416016
1.690000	0.771484	-0.830078	-0.834961	0.268555	1.420898
1.695000	1.416016	0.615234	-0.498047	-0.942383	1.420898
1.700000	0.043945	0.883789	1.269531	-3.852539	1.416016
1.705000	-0.083008	-2.304688	0.249023	2.465820	1.420898
1.710000	3.681641	-0.942383	-2.021484	-0.405273	1.420898
1.715000	3.647461	1.616211	-0.053711	-1.650391	1.420898
1.720000	1.030273	0.927734	0.903320	-0.327148	1.420898
1.725000	0.185547	-0.200195	-0.009766	0.185547	1.416016
1.730000	0.449219	0.146484	-0.410156	-0.419922	1.420898
1.735000	-0.122070	0.551758	1.074219	-2.890625	1.420898
1.740000	0.034180	-1.821289	-0.058594	1.782227	1.420898
1.745000	2.817383	-0.478516	-1.547852	-0.561523	1.416016
1.750000	2.402344	1.386719	0.068359	-1.337891	1.420898
1.755000	0.229492	0.722656	0.986328	-2.084961	1.420898
1.760000	-0.039062	-1.274414	0.039062	1.298828	1.420898
1.765000	1.953125	-0.336914	-1.201172	-0.463867	1.420898
1.770000	1.572266	1.137695	0.014648	-1.123047	1.420898
1.775000	-0.249023	0.498047	2.055664	-1.567383	1.420898
1.780000	0.639648	-2.260742	-0.717773	1.777344	1.420898
1.785000	3.627930	-0.073242	-1.562500	-0.971680	1.420898
1.790000	2.558594	1.562500	0.371094	-1.323242	1.420898
1.795000	0.317383	0.537109	0.698242	-0.649414	1.420898
1.800000	0.000000	-0.434570	-0.141602	0.332031	1.420898
1.805000	0.537109	0.166016	-0.517578	-0.517578	1.420898
1.810000	-0.151367	0.639648	1.323242	-3.222656	1.420898
1.815000	0.097656	-2.163086	-0.097656	2.089844	1.420898
1.820000	3.383789	-0.576172	-1.767578	-0.605469	1.416016
1.825000	2.958984	1.538086	0.097656	-1.479492	1.420898
1.830000	0.566406	0.761719	0.786133	-0.634766	1.416016
1.835000	-0.073242	-0.390625	0.063477	0.434570	1.420898
1.840000	0.546875	0.000000	-0.576172	-0.390625	1.420898
1.845000	0.078125	0.722656	0.537109	-3.730469	1.420898
1.850000	-0.366211	-1.777344	0.791016	2.299805	1.416016
1.855000	2.963867	-1.206055	-1.884766	-0.058594	1.420898
1.860000	3.442383	1.391602	-0.297852	-1.586914	1.420898
1.865000	1.000977	1.044922	0.849609	-0.488281	1.420898
1.870000	-0.073242	-0.166016	0.253906	0.332031	1.420898
1.875000	0.336914	-0.073242	-0.502930	-0.263672	1.416016
1.880000	0.043945	0.620117	0.444336	-3.417969	1.420898
1.885000	-0.341797	-1.591797	0.712891	2.060547	1.420898
1.890000	2.641602	-1.059570	-1.723633	-0.087891	1.420898
1.895000	3.012695	1.303711	-0.268555	-1.484375	1.425781
1.900000	0.727539	0.981445	0.776367	-1.245117	1.420898
1.905000	-0.234375	-0.615234	0.600586	1.005859	1.420898
1.910000	1.132812	-0.561523	-0.971680	-0.087891	1.420898
1.915000	1.259766	0.844727	-0.244141	-1.010742	1.420898
1.920000	-0.283203	0.566406	2.187500	-2.075195	1.420898
1.925000	0.639648	-2.553711	-0.698242	2.089844	1.420898
1.930000	4.106445	-0.209961	-1.787109	-0.976562	1.420898
1.935000	3.100586	1.708984	0.366211	-1.464844	1.416016
1.940000	0.639648	0.590820	0.781250	-0.078125	1.420898
1.945000	0.229492	-0.229492	-0.195312	0.097656	1.420898
1.950000	0.410156	0.297852	-0.346680	-0.532227	1.420898
1.955000	-0.341797	0.273438	1.777344	-1.025391	1.420898
1.960000	0.649414	-1.923828	-0.776367	1.401367	1.420898
1.965000	3.071289	0.117188	-1.298828	-0.986328	1.420898
1.970000	1.894531	1.411133	0.385742	-1.157227	1.420898
1.975000	-0.083008	0.395508	1.396484	-1.020508	1.416016
1.980000	0.395508	-1.401367	-0.541992	1.044922	1.420898
1.985000	2.172852	0.122070	-1.035156	-0.810547	1.420898
1.990000	1.191406	1.181641	0.268555	-1.000977	1.420898
1.995000	-0.488281	-0.136719	2.368164	1.625977	1.420898
2.000000	1.425781	-2.109375	-1.342773	1.220703	1.420898
2.005000	3.730469	0.541992	-1.186523	-1.323242	1.420898
2.010000	1.972656	1.479492	0.634766	-1.064453	1.420898
2.015000	0.058594	0.263672	0.703125	-0.307617	1.416016
2.020000	0.156250	-0.473633	-0.375977	0.219727	1.420898
2.025000	0.581055	0.356445	-0.444336	-0.649414	1.420898
2.030000	-0.336914	0.444336	1.997070	-1.831055	1.420898
2.035000	0.625000	-2.348633	-0.712891	1.865234	1.416016
2.040000	3.745117	-0.107422	-1.630859	-0.976562	1.420898
2.045000	2.695312	1.606445	0.371094	-1.362305	1.420898
2.050000	0.390625	0.551758	0.717773	-0.317383	1.420898
2.055000	0.019531	-0.263672	-0.170898	0.146484	1.420898
2.060000	0.268555	0.253906	-0.390625	-0.859375	1.416016
2.065000	-0.419922	0.063477	1.914062	0.195312	1.420898
2.070000	0.927734	-1.855469	-1.005859	1.186523	1.420898
2.075000	3.066406	0.346680	-1.152344	-1.113281	1.420898
2.080000	1.635742	1.372070	0.483398	-1.054688	1.420898
2.085000	-0.214844	0.200195	1.586914	-0.039062	1.420898
2.090000	0.664062	-1.435547	-0.781250	0.922852	1.420898
2.095000	2.324219	0.317383	-0.952148	-0.952148	1.420898
2.100000	1.088867	1.191406	0.375977	-1.220703	1.416016
2.105000	-0.507812	-0.371094	2.211914	1.748047	1.420898
2.110000	1.611328	-1.923828	-1.440430	0.966797	1.420898
2.115000	3.559570	0.703125	-1.005859	-1.372070	1.420898
2.120000	1.674805	1.396484	0.673828	-0.952148	1.420898
2.125000	-0.068359	0.151367	0.922852	0.019531	1.420898
2.130000	0.351562	-0.698242	-0.551758	0.332031	1.420898
2.135000	1.005859	0.415039	-0.527344	-0.761719	1.420898
2.140000	-0.073242	0.791016	1.401367	-3.715820	1.420898
2.145000	0.029297	-2.382812	0.043945	2.416992	1.420898
2.150000	3.769531	-0.800781	-1.992188	-0.532227	1.420898
2.155000	3.544922	1.645508	0.039062	-1.625977	1.420898
2.160000	0.937500	0.859375	0.888672	-0.278320	1.416016
2.165000	0.185547	-0.209961	-0.048828	0.175781	1.420898
2.170000	0.439453	0.175781	-0.400391	-0.444336	1.420898
2.175000	-0.170898	0.517578	1.240234	-2.631836	1.420898
2.180000	0.151367	-1.875000	-0.234375	1.713867	1.420898
