NO polarizer: t (s)	NO polarizer: int (a.u.)	YES polarizer: t (s)	YES polarizer: int (a.u.)	
12.931706	12.993031	12.752275	3.251666
12.977776	12.993031	12.790725	3.251666
13.015734	12.993031	12.830447	3.251666
13.088151	12.983486	12.872806	3.251666
13.128186	12.983486	12.914195	3.262920
13.163221	12.983486	12.982903	3.262920
13.207678	12.985618	13.027963	3.263050
13.250741	12.985618	13.067182	3.263050
13.323425	12.981297	13.107339	3.263050
13.367716	12.981297	13.148068	3.263492
13.404616	12.981297	13.216325	3.263492
13.446120	12.981297	13.254840	3.263492
13.489535	13.007765	13.297398	3.268658
13.556168	13.007765	13.340497	3.268658
13.594347	13.007765	13.378206	3.268658
13.638397	12.988425	13.438046	3.264705
13.675060	12.988425	13.476128	3.264705
13.713385	12.988425	13.514615	3.264705
13.757174	13.004715	13.556017	3.283456
13.796589	13.004715	13.592657	3.283456
13.855968	12.999460	13.630766	3.283456
13.903112	12.999460	13.672050	3.283456
13.941011	12.999460	13.718749	3.263671
13.981221	12.999460	13.758477	3.263671
14.024135	13.001463	13.795273	3.263671
14.087098	13.001463	13.837591	3.262090
14.129302	13.010342	13.880508	3.262090
14.169352	13.010342	13.919291	3.262090
14.211915	13.010342	13.984242	3.277157
14.253398	13.010248	14.024770	3.277157
14.329890	13.010248	14.062864	3.277157
14.374953	13.010248	14.106406	3.275771
14.416712	13.009142	14.148020	3.275771
14.461221	13.009142	14.223517	3.287429
14.500658	13.009142	14.262961	3.287429
14.575778	13.004052	14.306529	3.287429
14.619722	13.004052	14.350616	3.285648
14.657960	13.015363	14.424946	3.285648
14.701132	13.015363	14.462644	3.285648
14.740854	13.015363	14.503151	3.268235
14.810986	13.027617	14.542529	3.268235
14.854895	13.027617	14.582722	3.268235
14.892763	13.027617	14.630147	3.273536
14.938136	13.003242	14.669732	3.273536
14.979837	13.003242	14.709540	3.273536
15.042632	13.003242	14.748711	3.278698
15.087846	13.019206	14.789346	3.278698
15.126083	13.019206	14.828587	3.278698
15.164851	13.019206	14.865846	3.278698
15.210096	13.010658	14.909647	3.287610
15.250051	13.010658	14.951951	3.287610
15.306967	13.010658	14.988514	3.287610
15.351520	13.023762	15.051775	3.281350
15.390532	13.023762	15.090357	3.281350
15.431450	13.023762	15.130093	3.281350
15.473705	13.036186	15.172462	3.292218
15.541079	13.036186	15.211858	3.292218
15.582701	13.036186	15.248966	3.292218
15.623640	13.035930	15.294053	3.285728
15.665309	13.035930	15.332118	3.285728
15.704767	13.035930	15.393569	3.285728
15.774435	12.889086	15.437167	3.296504
15.816918	12.889086	15.480582	3.296504
15.854771	12.883062	15.522301	3.296504
15.897408	12.883062	15.564400	3.278780
15.939144	12.883062	15.630130	3.278780
16.009984	12.893784	15.667544	3.278780
16.054255	12.893784	15.708688	3.266096
16.090319	12.893784	15.749866	3.266096
16.132469	12.887716	15.788055	3.266096
16.172831	12.887716	15.828641	3.276090
16.240683	12.887716	15.866302	3.276090
16.285396	12.867178	15.905584	3.276090
16.323160	12.867178	15.949359	3.279451
16.367268	12.867178	15.986231	3.279451
16.406338	12.882577	16.053007	3.279451
16.455698	12.882577	16.092612	3.256570
16.491871	12.882577	16.135901	3.256570
16.532485	12.886047	16.180155	3.256570
16.577380	12.886047	16.220398	3.261734
16.615414	12.886047	16.260485	3.261734
16.656165	12.872044	16.297709	3.261734
16.699546	12.872044	16.337554	3.238463
16.737101	12.872044	16.378426	3.238463
16.809465	12.857455	16.418764	3.238463
16.849075	12.857455	16.455863	3.238463
16.888714	12.857455	16.495502	3.244582
16.929147	12.854376	16.533475	3.244582
16.971521	12.854376	16.571926	3.244582
